epoch,auc,binary_accuracy,learning_rate,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.9763084053993225,0.9163858294487,0.0010000000474974513,0.25210002064704895,0.7895894646644592,0.9073293805122375,0.9958503246307373,0.9714567065238953,0.15899696946144104,0.9151291251182556,0.9763779640197754
1,0.9971070289611816,0.9774641990661621,0.0010000000474974513,0.08520142734050751,0.9319999814033508,0.9814658761024475,0.9928299188613892,0.9832677245140076,0.10923850536346436,0.954023003578186,0.9803149700164795
2,0.9980219602584839,0.9848357439041138,0.0010000000474974513,0.05852024629712105,0.9558462500572205,0.9848357439041138,0.9969230890274048,0.9753937125205994,0.0951598733663559,0.9256505370140076,0.9803149700164795
3,0.9968735575675964,0.9877843260765076,0.0010000000474974513,0.05575452744960785,0.9630845189094543,0.9890480041503906,0.9933108687400818,0.9911417365074158,0.0961340069770813,0.9766536951065063,0.9881889820098877
4,0.9977969527244568,0.9886267781257629,0.0010000000474974513,0.043158017098903656,0.9647251963615417,0.9907329678535461,0.9939109683036804,0.9940944910049438,0.09070035070180893,0.9881889820098877,0.9881889820098877
5,0.9988225698471069,0.9913647770881653,0.0010000000474974513,0.041847288608551025,0.9751243591308594,0.9907329678535461,0.9937835931777954,0.9881889820098877,0.09168252348899841,0.97265625,0.9803149700164795
6,0.9995499849319458,0.9945240020751953,0.0010000000474974513,0.020906956866383553,0.9865884184837341,0.9915754199028015,0.9938644766807556,0.9891732335090637,0.08462511003017426,0.9727626442909241,0.9842519760131836
7,0.9990938305854797,0.9926284551620483,0.0010000000474974513,0.02773732878267765,0.9800000190734863,0.9907329678535461,0.9934938549995422,0.9881889820098877,0.08650267124176025,0.9689922332763672,0.9842519760131836
8,0.9992727041244507,0.9932603240013123,0.0010000000474974513,0.022569216787815094,0.9792531132698059,0.9941027760505676,0.9892230033874512,0.9931102395057678,0.14240507781505585,0.9881423115730286,0.9842519760131836
9,0.998955488204956,0.9945240020751953,0.0002500000118743628,0.03496583551168442,0.98740553855896,0.9907329678535461,0.9886746406555176,0.9921259880065918,0.12311133742332458,0.98046875,0.9881889820098877
10,0.9996342062950134,0.9953664541244507,0.0002500000118743628,0.021521374583244324,0.9850124716758728,0.9966301321983337,0.9935449361801147,0.9921259880065918,0.10391587764024734,0.98046875,0.9881889820098877
11,0.9996016025543213,0.9941027760505676,6.25000029685907e-05,0.026688305661082268,0.9849372506141663,0.9915754199028015,0.9934806823730469,0.9921259880065918,0.1074594259262085,0.98046875,0.9881889820098877
